団体コード,エリアレベル
-,level0
010006,level1
011002,level2
011011,level3
011029,level3
011037,level3
011045,level3
011053,level3
011061,level3
011070,level3
011088,level3
011096,level3
011100,level3
012025,level3
012033,level3
012041,level3
012050,level3
012068,level3
012076,level3
012084,level3
012092,level3
012106,level3
012114,level3
012122,level3
012131,level3
012149,level3
012157,level3
012165,level3
012173,level3
012181,level3
012190,level3
012203,level3
012211,level3
012220,level3
012238,level3
012246,level3
012254,level3
012262,level3
012271,level3
012289,level3
012297,level3
012301,level3
012319,level3
012335,level3
012343,level3
012351,level3
012360,level3
013030,level3
013048,level3
013315,level3
013323,level3
013331,level3
013340,level3
013374,level3
013439,level3
013455,level3
013463,level3
013471,level3
013617,level3
013625,level3
013633,level3
013641,level3
013676,level3
013706,level3
013714,level3
013919,level3
013927,level3
013935,level3
013943,level3
013951,level3
013960,level3
013978,level3
013986,level3
013994,level3
014001,level3
014010,level3
014028,level3
014036,level3
014044,level3
014052,level3
014061,level3
014079,level3
014087,level3
014095,level3
014231,level3
014249,level3
014257,level3
014273,level3
014281,level3
014290,level3
014303,level3
014311,level3
014320,level3
014338,level3
014346,level3
014362,level3
014371,level3
014389,level3
014524,level3
014532,level3
014541,level3
014559,level3
014567,level3
014575,level3
014583,level3
014591,level3
014605,level3
014613,level3
014621,level3
014630,level3
014648,level3
014656,level3
014681,level3
014699,level3
014702,level3
014711,level3
014729,level3
014818,level3
014826,level3
014834,level3
014842,level3
014851,level3
014869,level3
014877,level3
015113,level3
015121,level3
015130,level3
015148,level3
015164,level3
015172,level3
015181,level3
015199,level3
015202,level3
015431,level3
015440,level3
015458,level3
015466,level3
015474,level3
015491,level3
015504,level3
015521,level3
015555,level3
015598,level3
015601,level3
015610,level3
015628,level3
015636,level3
015644,level3
015717,level3
015750,level3
015784,level3
015814,level3
015849,level3
015857,level3
015865,level3
016012,level3
016021,level3
016047,level3
016071,level3
016080,level3
016098,level3
016101,level3
016314,level3
016322,level3
016331,level3
016349,level3
016357,level3
016365,level3
016373,level3
016381,level3
016390,level3
016411,level3
016420,level3
016438,level3
016446,level3
016454,level3
016462,level3
016471,level3
016489,level3
016497,level3
016616,level3
016624,level3
016632,level3
016641,level3
016659,level3
016675,level3
016683,level3
016918,level3
016926,level3
016934,level3
016942,level3
016951,level2
016969,level2
016977,level2
016985,level2
016993,level2
017001,level2
020001,level1
022012,level3
022021,level3
022039,level3
022047,level3
022055,level3
022063,level3
022071,level3
022080,level3
022098,level3
022101,level3
023001,level2
023019,level3
023035,level3
023043,level3
023078,level3
023205,level2
023213,level3
023230,level3
023400,level2
023434,level3
023604,level2
023612,level3
023621,level3
023671,level3
023809,level2
023817,level3
023841,level3
023876,level3
024007,level2
024015,level3
024023,level3
024058,level3
024066,level3
024082,level3
024112,level3
024121,level3
024201,level2
024236,level3
024244,level3
024252,level3
024261,level3
024406,level2
024414,level3
024422,level3
024431,level3
024457,level3
024465,level3
024503,level3
030007,level1
032018,level3
032026,level3
032034,level3
032051,level3
032069,level3
032077,level3
032085,level3
032093,level3
032107,level3
032115,level3
032131,level3
032140,level3
032158,level3
032166,level3
033006,level2
033014,level3
033022,level3
033031,level3
033201,level2
033219,level3
033227,level3
033600,level2
033669,level3
033804,level2
033812,level3
034002,level2
034029,level3
034401,level2
034410,level3
034606,level2
034614,level3
034801,level2
034827,level3
034835,level3
034843,level3
034851,level3
035009,level2
035017,level3
035033,level3
035068,level3
035076,level3
035203,level2
035246,level3
040002,level1
041009,level2
041017,level3
041025,level3
041033,level3
041041,level3
041050,level3
042021,level3
042030,level3
042056,level3
042064,level3
042072,level3
042081,level3
042099,level3
042111,level3
042129,level3
042137,level3
042145,level3
042153,level3
042161,level3
043001,level2
043010,level3
043028,level3
043206,level2
043214,level3
043222,level3
043231,level3
043249,level3
043401,level2
043419,level3
043605,level2
043613,level3
043621,level3
044008,level2
044016,level3
044041,level3
044067,level3
044202,level2
044211,level3
044229,level3
044245,level3
044407,level2
044440,level3
044458,level3
045004,level2
045012,level3
045055,level3
045802,level2
045811,level3
046001,level2
046060,level3
050008,level1
052019,level3
052027,level3
052035,level3
052043,level3
052060,level3
052078,level3
052094,level3
052108,level3
052116,level3
052124,level3
052132,level3
052141,level3
052159,level3
053007,level2
053031,level3
053201,level2
053279,level3
053406,level2
053465,level3
053481,level3
053490,level3
053601,level2
053619,level3
053635,level3
053660,level3
053686,level3
054208,level2
054348,level3
054607,level2
054631,level3
054640,level3
060003,level1
062014,level3
062022,level3
062031,level3
062049,level3
062057,level3
062065,level3
062073,level3
062081,level3
062090,level3
062103,level3
062111,level3
062120,level3
062138,level3
063002,level2
063011,level3
063029,level3
063207,level2
063215,level3
063223,level3
063231,level3
063240,level3
063401,level2
063410,level3
063606,level2
063614,level3
063622,level3
063631,level3
063649,level3
063657,level3
063665,level3
063673,level3
063801,level2
063819,level3
063827,level3
064009,level2
064017,level3
064025,level3
064033,level3
064203,level2
064262,level3
064289,level3
064602,level2
064611,level3
070009,level1
072010,level3
072028,level3
072036,level3
072044,level3
072052,level3
072079,level3
072087,level3
072095,level3
072109,level3
072117,level3
072125,level3
072133,level3
072141,level3
073008,level2
073016,level3
073032,level3
073083,level3
073202,level2
073229,level3
073407,level2
073423,level3
073440,level3
073601,level2
073628,level3
073644,level3
073679,level3
073687,level3
074004,level2
074021,level3
074055,level3
074071,level3
074080,level3
074209,level2
074217,level3
074225,level3
074233,level3
074403,level2
074446,level3
074454,level3
074462,level3
074471,level3
074608,level2
074616,level3
074641,level3
074659,level3
074667,level3
074802,level2
074811,level3
074829,level3
074837,level3
074845,level3
075001,level2
075019,level3
075027,level3
075035,level3
075043,level3
075051,level3
075205,level2
075213,level3
075221,level3
075400,level2
075418,level3
075426,level3
075434,level3
075442,level3
075451,level3
075469,level3
075477,level3
075485,level3
075604,level2
075612,level3
075647,level3
080004,level1
082015,level3
082023,level3
082031,level3
082040,level3
082058,level3
082074,level3
082082,level3
082104,level3
082112,level3
082121,level3
082147,level3
082155,level3
082163,level3
082171,level3
082198,level3
082201,level3
082210,level3
082228,level3
082236,level3
082244,level3
082252,level3
082261,level3
082279,level3
082287,level3
082295,level3
082309,level3
082317,level3
082325,level3
082333,level3
082341,level3
082350,level3
082368,level3
083003,level2
083020,level3
083097,level3
083101,level3
083402,level2
083411,level3
083607,level2
083640,level3
084409,level2
084425,level3
084433,level3
084476,level3
085201,level2
085219,level3
085405,level2
085421,level3
085464,level3
085600,level2
085642,level3
090000,level1
092011,level3
092029,level3
092037,level3
092045,level3
092053,level3
092061,level3
092088,level3
092096,level3
092100,level3
092118,level3
092134,level3
092142,level3
092151,level3
092169,level3
093009,level2
093017,level3
093408,level2
093424,level3
093432,level3
093441,level3
093459,level3
093602,level2
